id,university,interests,preferred_role,friend_registration,preferred_team_size,availability,programming_skills,interest_in_challenges,experience,languages_ordered,maturity,Tryhard,Rookie,Learner,Portfolio
2ebad15c-c0ef-4c04-ba98-c5d98403a90c,Universitat Internacional de Catalunya (UIC),"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Design,[],4,"[1, 1, 0, 1, 1]","{'Data Visualization': 2, 'Flask': 4, 'React Native': 6, 'UI/UX Design': 3, 'TypeScript': 3, 'Git': 2, 'React': 5, 'MongoDB': 2, 'HTML/CSS': 5}","['Mango Challenge', 'Restb.ai Challenge', 'AED Challenge']",4.394449154672439,"['Catalan', 'English']",4.6,0.0114410249994751,0.0363466126821779,0.011704372412962,0.0
a00428a2-14a2-4fb1-838a-22394778ec88,Universitat Pompeu Fabra (UPF),"[0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Analysis,[],3,"[1, 0, 1, 0, 1]","{'React': 4, 'PostgreSQL': 5, 'Figma': 7, 'SQL': 2}","['AED Challenge', 'Mango Challenge', 'Restb.ai Challenge']",7.16703787691222,['English'],3.4,0.0212129674547502,0.0,0.0367048293648393,0.0360508167720594
ab4b5790-0e6b-43db-bbaa-8670554f0cc8,Universidad de Sevilla,"[0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Analysis,[],4,"[1, 1, 1, 1, 1]","{'PostgreSQL': 4, 'TensorFlow': 5, 'Computer Vision': 6, 'Agile Methodology': 3}","['Restb.ai Challenge', 'Mango Challenge', 'AED Challenge']",4.394449154672439,"['Spanish', 'English', 'French', 'German', 'Italian']",3.6,0.01756510344786,0.0,0.0278653022087847,0.0
cda2fafe-4b1e-4581-9fe0-1fb6d3e79aa3,Universitat Internacional de Catalunya (UIC),"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Design,"['13a8194a-79a9-4004-8711-e6d89efa0014', '2a4877f6-c699-46a6-971f-1d1c75977ae8']",4,"[1, 1, 0, 1, 1]","{'IoT': 4, 'HTML/CSS': 6, 'MongoDB': 5, 'Blockchain': 6, 'AWS/Azure/GCP': 2, 'Figma': 6}","['Restb.ai Challenge', 'AED Challenge', 'Mango Challenge']",4.394449154672439,"['Catalan', 'English']",3.6,0.0368089380754052,0.0,0.0485147557474644,0.0439917456703037
624f4677-d31a-4ecf-a7de-5df7392f9579,Universitat Politècnica de Catalunya (UPC),"[1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",Design,[],4,"[1, 1, 1, 1, 1]","{'iOS Development': 2, 'Flask': 6, 'TensorFlow': 2, 'AWS/Azure/GCP': 3, 'SQL': 2, 'Computer Vision': 4, 'MongoDB': 2, 'JavaScript': 6}","['Restb.ai Challenge', 'AED Challenge', 'Mango Challenge']",4.394449154672439,['English'],3.4,0.1009581409945197,0.0349482729236912,0.0,0.0
e3464b47-0c0a-41d7-9750-a21adb889205,Universitat Pompeu Fabra (UPF),"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Design,[],4,"[1, 1, 1, 0, 1]","{'SQL': 6, 'Blockchain': 3, 'pytorch': 4, 'python': 4, 'Agile': 7, 'android': 4, 'react': 5}","['Restb.ai Challenge', 'AED Challenge', 'Mango Challenge']",6.437751649736401,['English'],3.4,0.0,0.0,0.0471494545910034,0.0195772108380544
97a555b7-99a5-4a5e-8f47-631d5507e25a,Universitat Internacional de Catalunya (UIC),"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Development,[],4,"[1, 1, 1, 1, 1]","{'iOS Development': 4, 'TensorFlow': 4, 'Rust': 7, 'Flutter': 5, 'Figma': 7}","['Mango Challenge', 'AED Challenge', 'Restb.ai Challenge']",5.545177444479562,['English'],4.8,0.0,0.0,0.0056689696123865,0.0
725b1704-4da0-423d-b51a-b465f2a41906,Universitat Politècnica de Catalunya (UPC),"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",Development,"['ae5a6bbe-8911-4195-9589-4ce25d6ddc8e', 'b8d50918-f0b5-4452-aae3-c097eafd99ab']",4,"[1, 1, 0, 1, 1]","{'iOS Development': 4, 'UI/UX Design': 4, 'Java': 2, 'Rust': 4, 'JavaScript': 5}","['AED Challenge', 'Mango Challenge', 'Restb.ai Challenge']",7.16703787691222,"['Catalan', 'Spanish', 'English']",2.0,0.1100487181743355,0.0,0.0028228017266122,0.0
14cf6a5f-7e48-49c8-9e59-522fe1178ad8,Universitat Politècnica de Catalunya (UPC),"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0]",Design,[],4,"[1, 1, 1, 1, 1]","{'Agile Methodology': 6, 'PostgreSQL': 6, 'iOS Development': 3, 'Flask': 6, 'HTML/CSS': 4, 'Flutter': 7}","['Mango Challenge', 'Restb.ai Challenge', 'AED Challenge']",7.16703787691222,"['Catalan', 'English', 'Portuguese']",2.4,0.0,0.0,0.0073442929095632,0.0
359f324b-b3ec-4770-8a60-86493503fee4,Politecnico di Milano,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",Don't know,[],4,"[1, 1, 1, 0, 1]","{'PostgreSQL': 3, 'IoT': 6, 'Blockchain': 7, 'Python': 5}","['Restb.ai Challenge', 'AED Challenge', 'Mango Challenge']",7.16703787691222,"['English', 'Italian']",2.4,0.0655126073316975,0.0,0.0164164448135331,0.0
